"word","phonetic","part_of_speech_and_meanings","example_sentence","example_translation","audio_uk","audio_us"
"accelerate","[æk'seləreit]","vt. (使)加快 促进 加速 提前 跳级; vi. 加速","The car began to accelerate.","汽车开始加速。","https://dict.youdao.com/dictvoice?type=1&audio=accelerate","https://dict.youdao.com/dictvoice?type=2&audio=accelerate"
"acceleration","[æk.selə'reiʃən]","n. 加速 促进 加速度","Sudden acceleration is dangerous.","突然加速是危险的。","https://dict.youdao.com/dictvoice?type=1&audio=acceleration","https://dict.youdao.com/dictvoice?type=2&audio=acceleration"
"accent","['æksənt]","n. 口音 腔调 重音 强调; vt. 重读 强调","She speaks English with a French accent.","她说英语带有法国口音。","https://dict.youdao.com/dictvoice?type=1&audio=accent","https://dict.youdao.com/dictvoice?type=2&audio=accent"
"accept","[ək'sept]","vt. 接受 同意 承担(责任等); vi. 接受","He accepted the invitation.","他接受了邀请。","https://dict.youdao.com/dictvoice?type=1&audio=accept","https://dict.youdao.com/dictvoice?type=2&audio=accept"
"acceptable","[ək'septəbl]","adj. 可接受的 合意的 受欢迎的","This solution is acceptable.","这个解决方案是可以接受的。","https://dict.youdao.com/dictvoice?type=1&audio=acceptable","https://dict.youdao.com/dictvoice?type=2&audio=acceptable"
"acceptance","[ək'septəns]","n. 接受（礼物、邀请、建议等） 同意 认可 验收 承认","The acceptance of the offer took time.","对该提议的接受花了一些时间。","https://dict.youdao.com/dictvoice?type=1&audio=acceptance","https://dict.youdao.com/dictvoice?type=2&audio=acceptance"
"access","['ækses]","n. 进入 接近(的机会) 使用之权 通道 入口; vt. (电脑)存取 进入","Students have free access to the library.","学生可以自由进入图书馆。","https://dict.youdao.com/dictvoice?type=1&audio=access","https://dict.youdao.com/dictvoice?type=2&audio=access"
"accessory","[æk'sesəri]","n. 同谋 从犯 附件; adj. 附属的(副的、辅助的)","This phone comes with several accessories.","这部手机配有多个附件。","https://dict.youdao.com/dictvoice?type=1&audio=accessory","https://dict.youdao.com/dictvoice?type=2&audio=accessory"
"accident","['æksidənt]","n. 意外的 事故","The accident happened yesterday.","事故发生在昨天。","https://dict.youdao.com/dictvoice?type=1&audio=accident","https://dict.youdao.com/dictvoice?type=2&audio=accident"
"accidental","[.æksi'dentl]","a. 意外的 偶然的 附属的 非本质的; n. 偶然 不重要的东西 <音>变调的临时符号","The meeting was an accidental encounter.","这次会面是偶然的。","https://dict.youdao.com/dictvoice?type=1&audio=accidental","https://dict.youdao.com/dictvoice?type=2&audio=accidental"
"accommodate","[ə'kɔmədeit]","vt. 容纳 供应 供给 提供方便 使一致 和解 顾及; vi. 使自己适应","The hotel can accommodate 300 guests.","这家酒店可以容纳三百位客人。","https://dict.youdao.com/dictvoice?type=1&audio=accommodate","https://dict.youdao.com/dictvoice?type=2&audio=accommodate"
"accommodation","[ə.kɔmə'deiʃən]","n. 招待设备 预定铺位 住处 膳宿 适应 和解","We found suitable accommodation near the station.","我们在车站附近找到了合适的住处。","https://dict.youdao.com/dictvoice?type=1&audio=accommodation","https://dict.youdao.com/dictvoice?type=2&audio=accommodation"
"accompany","[ə'kʌmpəni]","vt. 陪伴 陪同 伴随 给...伴奏; vi. 伴奏","She accompanied her mother to the hospital.","她陪同母亲去了医院。","https://dict.youdao.com/dictvoice?type=1&audio=accompany","https://dict.youdao.com/dictvoice?type=2&audio=accompany"
"accomplish","[ə'kɔmpliʃ]","vt. 达到(目的) 完成","He accomplished his task on time.","他按时完成了任务。","https://dict.youdao.com/dictvoice?type=1&audio=accomplish","https://dict.youdao.com/dictvoice?type=2&audio=accomplish"
"accord","[ə'kɔ:d]","vt. 使一致 调解 赠予 给予; n. 一致 调和 协议 自愿; vi. (与)一致","Their opinions accord with the facts.","他们的意见与事实一致。","https://dict.youdao.com/dictvoice?type=1&audio=accord","https://dict.youdao.com/dictvoice?type=2&audio=accord"
"accordance","[ə'kɔ:dəns]","n. 一致 和谐 授予 符合 同意","The work was done in accordance with the plan.","工作是按照计划完成的。","https://dict.youdao.com/dictvoice?type=1&audio=accordance","https://dict.youdao.com/dictvoice?type=2&audio=accordance"
"accordingly","[ə'kɔ:diŋli]","adv. 因此 所以 于是 相应地 照着","He was ill and accordingly stayed at home.","他生病了，因此待在家里。","https://dict.youdao.com/dictvoice?type=1&audio=accordingly","https://dict.youdao.com/dictvoice?type=2&audio=accordingly"
"account","[ə'kaunt]","n. 记述 解释 根据 理由 帐目 报告 估计 利益 好处; vi. 报账 解释 导致; vt. 把...视为 归咎(于)","He gave an account of the accident.","他对事故作了说明。","https://dict.youdao.com/dictvoice?type=1&audio=account","https://dict.youdao.com/dictvoice?type=2&audio=account"
"accumulate","[ə'kju:mjuleit]","vt. 积累 累加 堆积; vi. 堆积 累积","Dust accumulated on the table.","桌子上积满了灰尘。","https://dict.youdao.com/dictvoice?type=1&audio=accumulate","https://dict.youdao.com/dictvoice?type=2&audio=accumulate"
"accuracy","['ækjurəsi]","n. 准确(性) 准确度","Accuracy is essential in scientific research.","准确性在科学研究中至关重要。","https://dict.youdao.com/dictvoice?type=1&audio=accuracy","https://dict.youdao.com/dictvoice?type=2&audio=accuracy"
"accurate","['ækjurit]","adj. 准确的 正确无误的","The information is accurate.","信息是准确的。","https://dict.youdao.com/dictvoice?type=1&audio=accurate","https://dict.youdao.com/dictvoice?type=2&audio=accurate"
"accuse","[ə'kju:z]","vt. 指责 责备 控告 归咎于","He was accused of stealing.","他被指控偷窃。","https://dict.youdao.com/dictvoice?type=1&audio=accuse","https://dict.youdao.com/dictvoice?type=2&audio=accuse"
"accustom","[ə'kʌstəm]","vt. 使...习惯","She quickly accustomed herself to the new job.","她很快适应了新工作。","https://dict.youdao.com/dictvoice?type=1&audio=accustom","https://dict.youdao.com/dictvoice?type=2&audio=accustom"
"accustomed","[ə'kʌstəmd]","adj. 惯常的 习惯的","He is accustomed to getting up early.","他习惯早起。","https://dict.youdao.com/dictvoice?type=1&audio=accustomed","https://dict.youdao.com/dictvoice?type=2&audio=accustomed"
"ache","[eik]","vi. 痛 想念 渴望; n. 疼痛","My head aches badly.","我头痛得厉害。","https://dict.youdao.com/dictvoice?type=1&audio=ache","https://dict.youdao.com/dictvoice?type=2&audio=ache"
"achieve","[ə'tʃi:v]","vt. 完成 实现 达到; vi. 达到目的","She achieved her dream at last.","她终于实现了自己的梦想。","https://dict.youdao.com/dictvoice?type=1&audio=achieve","https://dict.youdao.com/dictvoice?type=2&audio=achieve"
"achievement","[ə'tʃi:vmənt]","n. 完成 成就 成绩 达到","Winning the prize was a great achievement.","获奖是一项巨大的成就。","https://dict.youdao.com/dictvoice?type=1&audio=achievement","https://dict.youdao.com/dictvoice?type=2&audio=achievement"
"acid","['æsid]","n. 酸 酸味物质; adj. 酸的 酸性的","This drink contains acid.","这种饮料含有酸性物质。","https://dict.youdao.com/dictvoice?type=1&audio=acid","https://dict.youdao.com/dictvoice?type=2&audio=acid"
"acquaintance","[ə'kweintəns]","n. 认识 了解 熟人","He is just an acquaintance, not a close friend.","他只是个熟人，并非密友。","https://dict.youdao.com/dictvoice?type=1&audio=acquaintance","https://dict.youdao.com/dictvoice?type=2&audio=acquaintance"
"acquire","[ə'kwaiə]","vt. 占有 取得 获得 学到","She acquired a new skill.","她学会了一项新技能。","https://dict.youdao.com/dictvoice?type=1&audio=acquire","https://dict.youdao.com/dictvoice?type=2&audio=acquire"
"acre","['eikə]","n. 英亩(=6.07亩)","The farm covers fifty acres.","这个农场占地五十英亩。","https://dict.youdao.com/dictvoice?type=1&audio=acre","https://dict.youdao.com/dictvoice?type=2&audio=acre"
"across","[ə'krɔs]","prep. 横过 穿过 在...对面; adv. 横过 使...被理解(或接受)","He walked across the street.","他穿过了马路。","https://dict.youdao.com/dictvoice?type=1&audio=across","https://dict.youdao.com/dictvoice?type=2&audio=across"
"act","[ækt]","vi. 行动 表演 表现 充当 见效; vt. 表演 扮演; n. 行为 行动 法案 （戏剧、歌剧等的）一幕","He acted bravely in the emergency.","他在紧急情况下表现得很勇敢。","https://dict.youdao.com/dictvoice?type=1&audio=act","https://dict.youdao.com/dictvoice?type=2&audio=act"
"action","['ækʃən]","n. 起诉 行动 作用 功能 情节 活动","Immediate action is required.","需要立即采取行动。","https://dict.youdao.com/dictvoice?type=1&audio=action","https://dict.youdao.com/dictvoice?type=2&audio=action"
"active","['æktiv]","adj. 活跃的 积极的 主动的","She is very active in class discussions.","她在课堂讨论中非常积极。","https://dict.youdao.com/dictvoice?type=1&audio=active","https://dict.youdao.com/dictvoice?type=2&audio=active"
"activity","[æk'tiviti]","n. 活动 活跃 活力 行动; vt. 表演; adj. 厉害","Outdoor activities are good for health.","户外活动有益健康。","https://dict.youdao.com/dictvoice?type=1&audio=activity","https://dict.youdao.com/dictvoice?type=2&audio=activity"
"actor","['æktə]","n. 男演员 演剧的人","The actor gave an excellent performance.","这位男演员的表演非常出色。","https://dict.youdao.com/dictvoice?type=1&audio=actor","https://dict.youdao.com/dictvoice?type=2&audio=actor"
"actress","['æktris]","n. 女演员","She is a famous actress.","她是一位著名的女演员。","https://dict.youdao.com/dictvoice?type=1&audio=actress","https://dict.youdao.com/dictvoice?type=2&audio=actress"
"actual","['æktjuəl]","adj. 实际的 真实的 现行的","The actual cost was higher than expected.","实际成本高于预期。","https://dict.youdao.com/dictvoice?type=1&audio=actual","https://dict.youdao.com/dictvoice?type=2&audio=actual"
"actually","['æktʃuəli]","adv. 实际上 事实上 居然 竟然（表示惊讶）","I actually thought he knew.","我原以为他真的知道。","https://dict.youdao.com/dictvoice?type=1&audio=actually","https://dict.youdao.com/dictvoice?type=2&audio=actually"
"acute","[ə'kju:t]","adj. 尖的 锐的 敏锐的 激烈的","He has an acute sense of hearing.","他的听觉非常敏锐。","https://dict.youdao.com/dictvoice?type=1&audio=acute","https://dict.youdao.com/dictvoice?type=2&audio=acute"
"ad","[æd]","n. (缩)广告; abbr. (advertisement 的缩写) 广告","I saw an ad for the new phone.","我看到了一则新手机的广告。","https://dict.youdao.com/dictvoice?type=1&audio=ad","https://dict.youdao.com/dictvoice?type=2&audio=ad"
"adapt","[ə'dæpt]","vt. 使适应 改编; vi. 适应 适合","Animals adapt to their environment.","动物会适应环境。","https://dict.youdao.com/dictvoice?type=1&audio=adapt","https://dict.youdao.com/dictvoice?type=2&audio=adapt"
"add","[æd]","vt. 添加 附加 掺加 增加","Please add some sugar to the tea.","请在茶里加点糖。","https://dict.youdao.com/dictvoice?type=1&audio=add","https://dict.youdao.com/dictvoice?type=2&audio=add"
"addition","[ə'diʃən]","n. 加 加法 附加物 增加","The addition of sugar makes it sweeter.","加糖让它更甜。","https://dict.youdao.com/dictvoice?type=1&audio=addition","https://dict.youdao.com/dictvoice?type=2&audio=addition"
"additional","[ə'diʃənl]","adj. 附加的 追加的 另外的","Additional information is required.","还需要补充信息。","https://dict.youdao.com/dictvoice?type=1&audio=additional","https://dict.youdao.com/dictvoice?type=2&audio=additional"
"address","[ə'dres]","n. 地址 住址 致词 讲话 演说 谈吐 (处理问题的)技巧; vt. 发表演说 写地址 称呼 对付 (图书、文章等)讨论(某主题)","He addressed the audience confidently.","他自信地向听众发表讲话。","https://dict.youdao.com/dictvoice?type=1&audio=address","https://dict.youdao.com/dictvoice?type=2&audio=address"
"adequate","['ædikwit]","adj. 足够的 充足的 适当的 可以胜任的","The room is adequate for a meeting.","这个房间开会够用。","https://dict.youdao.com/dictvoice?type=1&audio=adequate","https://dict.youdao.com/dictvoice?type=2&audio=adequate"
"adjective","['ædʒiktiv]","n. 形容词; adj. 形容词的 不独立的","Beautiful is an adjective.","beautiful 是一个形容词。","https://dict.youdao.com/dictvoice?type=1&audio=adjective","https://dict.youdao.com/dictvoice?type=2&audio=adjective"
"adjust","[ə'dʒʌst]","vt. 调整 调节 校正 使...适于; vi. 适应","Please adjust the seat.","请调整座位。","https://dict.youdao.com/dictvoice?type=1&audio=adjust","https://dict.youdao.com/dictvoice?type=2&audio=adjust"
"administration","[ədminis'treiʃən]","n. 管理 行政 管理部门","The school administration made a decision.","学校管理部门作出了决定。","https://dict.youdao.com/dictvoice?type=1&audio=administration","https://dict.youdao.com/dictvoice?type=2&audio=administration"
"admire","[əd'maiə]","vt. 钦佩 羡慕 赞赏","I admire her courage.","我钦佩她的勇气。","https://dict.youdao.com/dictvoice?type=1&audio=admire","https://dict.youdao.com/dictvoice?type=2&audio=admire"
"admission","[əd'miʃən]","n. 允许进入 承认 许可 入会费","Admission is free today.","今天免费入场。","https://dict.youdao.com/dictvoice?type=1&audio=admission","https://dict.youdao.com/dictvoice?type=2&audio=admission"
"admit","[əd'mit]","vt. 承认 准许...进入; vi. 允许进入 允许 承认","He admitted his mistake.","他承认了错误。","https://dict.youdao.com/dictvoice?type=1&audio=admit","https://dict.youdao.com/dictvoice?type=2&audio=admit"
"adopt","[ə'dɔpt]","vt. 收养 采用 采取 接受","They adopted a new policy.","他们采用了一项新政策。","https://dict.youdao.com/dictvoice?type=1&audio=adopt","https://dict.youdao.com/dictvoice?type=2&audio=adopt"
"adult","[ə'dʌlt, 'ædʌlt]","n. 成年人; adj. 成年的 成人的 成熟的","This movie is for adults only.","这部电影只适合成年人观看。","https://dict.youdao.com/dictvoice?type=1&audio=adult","https://dict.youdao.com/dictvoice?type=2&audio=adult"
"advance","[əd'vɑ:ns]","n. 前进 进展 进步 预支; vt. 前进 增涨 预先; vi. 前进 提高 提升; adj. 预先的 提前的","Technology advances rapidly.","科技迅速进步。","https://dict.youdao.com/dictvoice?type=1&audio=advance","https://dict.youdao.com/dictvoice?type=2&audio=advance"
"advanced","[əd'vɑ:nst]","adj. 先进的 高级的","This is an advanced course.","这是高级课程。","https://dict.youdao.com/dictvoice?type=1&audio=advanced","https://dict.youdao.com/dictvoice?type=2&audio=advanced"
"advantage","[əd'vɑ:ntidʒ]","n. 优点 优势 有利条件 好处; vt. 有利于","Experience gives him an advantage.","经验给了他优势。","https://dict.youdao.com/dictvoice?type=1&audio=advantage","https://dict.youdao.com/dictvoice?type=2&audio=advantage"
"adventure","[əd'ventʃə]","n. 冒险 奇遇 惊险活动; vt. 冒险 尝试; vi. 大胆进行 冒险","They went on an adventure.","他们进行了一次冒险。","https://dict.youdao.com/dictvoice?type=1&audio=adventure","https://dict.youdao.com/dictvoice?type=2&audio=adventure"
"adverb","['ædvə:b]","n. 副词; adj. 副词的","Quickly is an adverb.","quickly 是副词。","https://dict.youdao.com/dictvoice?type=1&audio=adverb","https://dict.youdao.com/dictvoice?type=2&audio=adverb"
"advertisement","[əd'və:tismənt]","n. 广告 公告 登广告","I saw an advertisement in the newspaper.","我在报纸上看到了一则广告。","https://dict.youdao.com/dictvoice?type=1&audio=advertisement","https://dict.youdao.com/dictvoice?type=2&audio=advertisement"
"advice","[əd'vais]","n. 劝告 忠告 意见 建议","She gave me useful advice.","她给了我有用的建议。","https://dict.youdao.com/dictvoice?type=1&audio=advice","https://dict.youdao.com/dictvoice?type=2&audio=advice"
"advisable","[əd'vaizəbl]","adj. 明智的 可取的","It is advisable to start early.","早点开始是明智的。","https://dict.youdao.com/dictvoice?type=1&audio=advisable","https://dict.youdao.com/dictvoice?type=2&audio=advisable"
"advise","[əd'vaiz]","vt. 劝告 建议 通知 警告; vi. 劝告 与...商量","The doctor advised rest.","医生建议休息。","https://dict.youdao.com/dictvoice?type=1&audio=advise","https://dict.youdao.com/dictvoice?type=2&audio=advise"
"aeroplane","[.eərə.plein]","n. 飞机","The aeroplane took off on time.","飞机准时起飞。","https://dict.youdao.com/dictvoice?type=1&audio=aeroplane","https://dict.youdao.com/dictvoice?type=2&audio=aeroplane"
"aero","['ɛərəu]","adj. 飞机的 航空的 飞行的","Aero technology is developing fast.","航空技术发展迅速。","https://dict.youdao.com/dictvoice?type=1&audio=aero","https://dict.youdao.com/dictvoice?type=2&audio=aero"
"affair","[ə'fɛə]","n. 事情 事件 事务 绯闻","This is a serious affair.","这是件严肃的事情。","https://dict.youdao.com/dictvoice?type=1&audio=affair","https://dict.youdao.com/dictvoice?type=2&audio=affair"
"affect","[ə'fekt]","vt. 影响 感动 作用","Weather affects crops.","天气影响农作物。","https://dict.youdao.com/dictvoice?type=1&audio=affect","https://dict.youdao.com/dictvoice?type=2&audio=affect"
"affection","[ə'fekʃən]","n. 慈爱 爱 爱慕 影响 喜爱 感情","She showed affection for the child.","她对孩子表现出慈爱。","https://dict.youdao.com/dictvoice?type=1&audio=affection","https://dict.youdao.com/dictvoice?type=2&audio=affection"
"afford","[ə'fɔ:d]","vt. 担负得起(后果 损失等) 提供 给予","I can’t afford a new car.","我买不起新车。","https://dict.youdao.com/dictvoice?type=1&audio=afford","https://dict.youdao.com/dictvoice?type=2&audio=afford"
"afraid","[ə'freid]","adj. 害怕的 担心的","She is afraid of snakes.","她害怕蛇。","https://dict.youdao.com/dictvoice?type=1&audio=afraid","https://dict.youdao.com/dictvoice?type=2&audio=afraid"
"Africa","['æfrikə]","n. 非洲","Africa is a vast continent.","非洲是一个辽阔的大陆。","https://dict.youdao.com/dictvoice?type=1&audio=Africa","https://dict.youdao.com/dictvoice?type=2&audio=Africa"
"African","['æfrikən]","adj. 非洲的 非洲人的; n. 非洲人","He is an African writer.","他是一位非洲作家。","https://dict.youdao.com/dictvoice?type=1&audio=African","https://dict.youdao.com/dictvoice?type=2&audio=African"
"after","['ɑ:ftə]","adj. 以后的; adv. 以后 后来; conj. 在...以后; prep. 在...以后 次于","We met after dinner.","我们在晚饭后见面。","https://dict.youdao.com/dictvoice?type=1&audio=after","https://dict.youdao.com/dictvoice?type=2&audio=after"
"afternoon","['ɑ:ftə'nu:n]","n. 下午 午后; int. 下午好","Good afternoon, everyone.","大家下午好。","https://dict.youdao.com/dictvoice?type=1&audio=afternoon","https://dict.youdao.com/dictvoice?type=2&audio=afternoon"
"afterward","['ɑ:ftəwəd]","adv. 后来 以后","They went home afterward.","之后他们回家了。","https://dict.youdao.com/dictvoice?type=1&audio=afterward","https://dict.youdao.com/dictvoice?type=2&audio=afterward"
"again","[ə'gein]","adv. 又一次 而且 又 再 另一方面","Please try again.","请再试一次。","https://dict.youdao.com/dictvoice?type=1&audio=again","https://dict.youdao.com/dictvoice?type=2&audio=again"
"against","[ə'genst, ə'geinst]","prep. 倚在 倚靠 逆 对着 反对 违背 防御 相比 相对","He leaned against the wall.","他倚靠在墙上。","https://dict.youdao.com/dictvoice?type=1&audio=against","https://dict.youdao.com/dictvoice?type=2&audio=against"
"age","[eidʒ]","n. 年龄 时代 时期 很长时间; vt. (使)变老; vi. 变老 (使)变成熟","Age brings experience.","年龄带来经验。","https://dict.youdao.com/dictvoice?type=1&audio=age","https://dict.youdao.com/dictvoice?type=2&audio=age"
"agency","['eidʒənsi]","n. 经办 代理 代理处 政府机构","She works for a travel agency.","她在一家旅行社工作。","https://dict.youdao.com/dictvoice?type=1&audio=agency","https://dict.youdao.com/dictvoice?type=2&audio=agency"
"agent","['eidʒənt]","n. 代理人 代理商 特工人员 药剂","He is an insurance agent.","他是一名保险代理人。","https://dict.youdao.com/dictvoice?type=1&audio=agent","https://dict.youdao.com/dictvoice?type=2&audio=agent"
"aggressive","[ə'gresiv]","adj. 侵略的 好斗的 攻击性的 有进取心的 强烈的 迅速生长的","The company has an aggressive marketing strategy.","公司有一套进取的营销策略。","https://dict.youdao.com/dictvoice?type=1&audio=aggressive","https://dict.youdao.com/dictvoice?type=2&audio=aggressive"
"ago","[ə'gəu]","adv. 以前","He left the city ten years ago.","他十年前离开了这座城市。","https://dict.youdao.com/dictvoice?type=1&audio=ago","https://dict.youdao.com/dictvoice?type=2&audio=ago"
"agony","['ægəni]","n. 极度痛苦 挣扎","She was in agony after the accident.","事故后她痛苦万分。","https://dict.youdao.com/dictvoice?type=1&audio=agony","https://dict.youdao.com/dictvoice?type=2&audio=agony"
"agree","[ə'gri:]","vt. 同意 赞成 承认; vi. 同意 持相同意见 一致 符合","I agree with your opinion.","我同意你的观点。","https://dict.youdao.com/dictvoice?type=1&audio=agree","https://dict.youdao.com/dictvoice?type=2&audio=agree"
"agreement","[ə'gri:mənt]","n. 协定 协议 同意 一致","They signed a trade agreement.","他们签署了一份贸易协议。","https://dict.youdao.com/dictvoice?type=1&audio=agreement","https://dict.youdao.com/dictvoice?type=2&audio=agreement"
"agriculture","['ægrikʌltʃə]","n. 农业 农艺 农学","Agriculture is vital to the economy.","农业对经济至关重要。","https://dict.youdao.com/dictvoice?type=1&audio=agriculture","https://dict.youdao.com/dictvoice?type=2&audio=agriculture"
"ahead","[ə'hed]","adv. 在前 向前 提前 将来地 占优势","He is always ahead of his classmates in studies.","他在学习上总是领先同学。","https://dict.youdao.com/dictvoice?type=1&audio=ahead","https://dict.youdao.com/dictvoice?type=2&audio=ahead"
"AI","[ai]","abbr. 人工智能 = (Artificial Intelligence)","AI is transforming many industries.","人工智能正在改变许多行业。","https://dict.youdao.com/dictvoice?type=1&audio=AI","https://dict.youdao.com/dictvoice?type=2&audio=AI"
"aid","[eid]","n. 帮助 救护 助手 辅助物; v. 援助 帮助 救护; abbr. = Agency for International Development 国际开发署[美]","The organization provides aid to refugees.","该组织为难民提供援助。","https://dict.youdao.com/dictvoice?type=1&audio=aid","https://dict.youdao.com/dictvoice?type=2&audio=aid"
"aim","[eim]","n. 目标 对准 枪法; vt. 瞄准 针对; vi. 瞄准 针对 致力 旨在 打算","He aimed carefully before shooting.","他在开枪前仔细瞄准。","https://dict.youdao.com/dictvoice?type=1&audio=aim","https://dict.youdao.com/dictvoice?type=2&audio=aim"
"air","[ɛə]","n. 空气 空中 外观 旋律 气氛 态度; v. 晾干 使通风 广播","The room needs fresh air.","房间需要新鲜空气。","https://dict.youdao.com/dictvoice?type=1&audio=air","https://dict.youdao.com/dictvoice?type=2&audio=air"
"aircraft","['eəkrɑ:ft]","n. 飞机 飞行器","The aircraft landed safely.","飞机安全降落。","https://dict.youdao.com/dictvoice?type=1&audio=aircraft","https://dict.youdao.com/dictvoice?type=2&audio=aircraft"
"airline","['eəlain]","n. 航空公司 航线","She booked a ticket with an international airline.","她在一家国际航空公司订了票。","https://dict.youdao.com/dictvoice?type=1&audio=airline","https://dict.youdao.com/dictvoice?type=2&audio=airline"
"airplane","['eəplein]","n. 飞机 = aeroplane(英)","The airplane took off on time.","飞机准时起飞。","https://dict.youdao.com/dictvoice?type=1&audio=airplane","https://dict.youdao.com/dictvoice?type=2&audio=airplane"
"airport","['eəpɔ:t]","n. 机场 航空站","The airport is crowded during the holidays.","节假日期间机场很拥挤。","https://dict.youdao.com/dictvoice?type=1&audio=airport","https://dict.youdao.com/dictvoice?type=2&audio=airport"
"alarm","[ə'lɑ:m]","n. 惊恐 惊慌 忧虑 警报 警告 报警器; vt. 使...惊慌 警告 装报警器","The alarm woke everyone up.","警报把大家都吵醒了。","https://dict.youdao.com/dictvoice?type=1&audio=alarm","https://dict.youdao.com/dictvoice?type=2&audio=alarm"
"alcohol","['ælkəhɔl]","n. 酒精 酒醇 乙醇","Excessive alcohol can be harmful.","过量饮酒有害健康。","https://dict.youdao.com/dictvoice?type=1&audio=alcohol","https://dict.youdao.com/dictvoice?type=2&audio=alcohol"
